# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: ScoringCylinder
# R in 1 bin  of 0.495 cm
# Phi in 1 bin  of 360 deg
# Z in 583 bins of 0.0600343 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 458, 4.786582956826086e-11
0, 0, 459, 4.786959113765873e-11
0, 0, 460, 4.81870676119444e-11
0, 0, 461, 4.89219798479078e-11
0, 0, 462, 4.672604574807273e-11
0, 0, 463, 4.723664569874487e-11
0, 0, 464, 5.303532831260416e-11
0, 0, 465, 5.335177182939777e-11
0, 0, 466, 5.22661641120343e-11
0, 0, 467, 5.26407301466081e-11
0, 0, 468, 4.944077444584497e-11
0, 0, 469, 4.829595788767927e-11
0, 0, 470, 4.836071850108773e-11
0, 0, 471, 5.19701295708787e-11
0, 0, 472, 5.084359492906965e-11
0, 0, 473, 4.960717410265095e-11
0, 0, 474, 4.860328750738086e-11
0, 0, 475, 4.751524150938368e-11
0, 0, 476, 4.703156301738199e-11
0, 0, 477, 4.746480769161907e-11
0, 0, 478, 4.686442477252554e-11
0, 0, 479, 4.731499056517795e-11
0, 0, 480, 4.810478430132182e-11
0, 0, 481, 4.872881343175708e-11
0, 0, 482, 4.767771621586003e-11
0, 0, 483, 4.658218000520659e-11
0, 0, 484, 4.676335332026191e-11
0, 0, 485, 4.54961651394294e-11
0, 0, 486, 4.617614115458581e-11
0, 0, 487, 4.571116704109988e-11
0, 0, 488, 4.550332108886819e-11
0, 0, 489, 4.578834275175328e-11
0, 0, 490, 4.664021623266381e-11
0, 0, 491, 4.65173491351257e-11
0, 0, 492, 4.816494257307351e-11
0, 0, 493, 5.290598556081085e-11
0, 0, 494, 4.678264775129786e-11
0, 0, 495, 4.575577038159637e-11
0, 0, 496, 4.555792445320532e-11
0, 0, 497, 4.547506402769952e-11
0, 0, 498, 4.569044086819103e-11
0, 0, 499, 4.51503494278305e-11
0, 0, 500, 4.516940202049466e-11
0, 0, 501, 4.479285623154898e-11
0, 0, 502, 4.608940732407601e-11
0, 0, 503, 4.531125261516071e-11
0, 0, 504, 4.552252645799201e-11
0, 0, 505, 4.561567074284385e-11
0, 0, 506, 4.612295528723983e-11
0, 0, 507, 4.578108941102632e-11
0, 0, 508, 4.529275033804147e-11
0, 0, 509, 4.877028853812921e-11
0, 0, 510, 6.027153860607064e-11
0, 0, 511, 4.653516155175547e-11
0, 0, 512, 5.485838020606602e-11
0, 0, 513, 4.476325412233912e-11
0, 0, 514, 4.423362229814143e-11
0, 0, 515, 5.567995383355835e-11
0, 0, 516, 5.274072706482559e-11
0, 0, 517, 4.470688419689826e-11
0, 0, 518, 4.469380857006811e-11
0, 0, 519, 4.437457714044841e-11
0, 0, 520, 4.357570608529303e-11
0, 0, 521, 4.459015168164337e-11
0, 0, 522, 4.386507737864653e-11
0, 0, 523, 4.421622958483744e-11
0, 0, 524, 4.403800260168292e-11
0, 0, 525, 4.904752463357695e-11
0, 0, 526, 5.04180139888871e-11
0, 0, 527, 4.826032144607016e-11
0, 0, 528, 4.878254618939883e-11
0, 0, 529, 4.790359364468876e-11
0, 0, 530, 6.1597836696934e-11
0, 0, 531, 4.50409565277384e-11
0, 0, 532, 4.576659987617844e-11
0, 0, 533, 4.574709198241059e-11
0, 0, 534, 4.574765959992324e-11
0, 0, 535, 4.564567769073613e-11
0, 0, 536, 4.551688653739263e-11
0, 0, 537, 4.560417320331514e-11
0, 0, 538, 4.593953323537232e-11
0, 0, 539, 4.582942507261039e-11
0, 0, 540, 4.552749525400758e-11
0, 0, 541, 4.555749870085184e-11
0, 0, 542, 4.576822653445165e-11
0, 0, 543, 4.53289314632172e-11
0, 0, 544, 4.466726748339143e-11
0, 0, 545, 4.513257328207045e-11
0, 0, 546, 4.475412743242905e-11
0, 0, 547, 4.402896633107958e-11
0, 0, 548, 4.374971422084929e-11
0, 0, 549, 4.392896764361868e-11
0, 0, 550, 4.324933360259258e-11
0, 0, 551, 4.301194802076984e-11
0, 0, 552, 4.351697896757043e-11
0, 0, 553, 4.404682135095554e-11
0, 0, 554, 4.373686969055907e-11
0, 0, 555, 4.32856770971185e-11
0, 0, 556, 4.370972676224142e-11
0, 0, 557, 4.349381647836092e-11
0, 0, 558, 4.35943435994553e-11
0, 0, 559, 4.387861418972398e-11
0, 0, 560, 4.372059343821526e-11
0, 0, 561, 5.444634199085713e-11
0, 0, 562, 4.747420709993929e-11
0, 0, 563, 4.344541035234097e-11
0, 0, 564, 4.295560466463662e-11
0, 0, 565, 4.65300570387254e-11
0, 0, 566, 4.767684695006943e-11
0, 0, 567, 5.025987389819699e-11
0, 0, 568, 4.33750459711762e-11
0, 0, 569, 4.32276778900091e-11
0, 0, 570, 4.478417521432962e-11
0, 0, 571, 5.036291730177331e-11
0, 0, 572, 4.924403786226078e-11
0, 0, 573, 4.817541608214536e-11
0, 0, 574, 4.77523921621339e-11
0, 0, 575, 4.474512674165574e-11
0, 0, 576, 4.361641468391495e-11
0, 0, 577, 4.390846973832439e-11
0, 0, 578, 5.08064209421307e-11
0, 0, 579, 4.344203417425926e-11
0, 0, 580, 4.363716970476207e-11
0, 0, 581, 4.319563336257437e-11
0, 0, 582, 4.253479485413187e-11
